Gene	Mean.UTR5.Length_Mouse	Median.UTR5.Length_Mouse	Human	Mean.UTR5.Length_Human	Median.UTR5.Length_Human
ENSMUSG00000045216	258	258	ENSG00000136720	305	305
ENSMUSG00000045225	18.5	18.5	NA	NA	NA
ENSMUSG00000045232	44	44	ENSG00000171136	57	57
ENSMUSG00000045236	46	46	ENSG00000205867	44	44
ENSMUSG00000045237	147.5	147.5	ENSG00000197021	146	107.5
ENSMUSG00000045246	245	245	ENSG00000168418	154.66666666666666	81
ENSMUSG00000045248	304	304	ENSG00000141979	261	261
ENSMUSG00000045251	30	30	ENSG00000229809	143.25	54
ENSMUSG00000045252	133.66666666666666	182	ENSG00000105732	252.75	178
ENSMUSG00000045257	91	92	ENSG00000188010	89.8	75
ENSMUSG00000045259	137	137	ENSG00000162755	158.5	158.5
ENSMUSG00000045267	1	1	ENSG00000169777	319	319
ENSMUSG00000045268	268	126	ENSG00000164011	63.09090909090909	45
ENSMUSG00000045273	97	97	ENSG00000153044	56.5	56.5
ENSMUSG00000045275	75.42857142857143	71	ENSG00000157578	91.5	60.5
ENSMUSG00000045281	104.5	104.5	ENSG00000204882	55	55
ENSMUSG00000045282	207.66666666666666	210	ENSG00000180089	22	22
ENSMUSG00000045284	260	260	NA	NA	NA
ENSMUSG00000045287	499	499	ENSG00000185924	469	469
ENSMUSG00000045288	185	185	ENSG00000182040	182	182
ENSMUSG00000045291	149.5	149.5	NA	NA	NA
ENSMUSG00000045294	75	75	ENSG00000186480	91	76.5
ENSMUSG00000045302	215.5	215.5	ENSG00000138073	203	203
ENSMUSG00000045306	41	35	ENSG00000275249	NA	NA
ENSMUSG00000045312	185.6	201	ENSG00000145685	149.8	126
ENSMUSG00000045314	164	164	ENSG00000186212	295	295
ENSMUSG00000045316	263	263	ENSG00000180185	152.5	152.5
ENSMUSG00000045318	1567	1567	ENSG00000184160	240.5	240.5
ENSMUSG00000045319	168	170	ENSG00000148426	79.66666666666667	81
ENSMUSG00000045322	106	106	ENSG00000173366	NA	NA
ENSMUSG00000045326	205.5	205.5	ENSG00000143107	26	26
ENSMUSG00000045328	122	122	ENSG00000138778	75	75
ENSMUSG00000045330	64.4	73	NA	NA	NA
ENSMUSG00000045331	65	65	NA	NA	NA
ENSMUSG00000045333	137.5	81	ENSG00000102935	137.1	109.5
ENSMUSG00000045336	59	59	ENSG00000169953	94	97
ENSMUSG00000045337	33	33	NA	NA	NA
ENSMUSG00000045340	515.25	143	NA	NA	NA
ENSMUSG00000045341	679	679	ENSG00000203663	89.5	85.5
ENSMUSG00000045348	307	280	ENSG00000166924	79.5	79.5
ENSMUSG00000045349	67.5	61.5	ENSG00000189410	198.33333333333334	78
ENSMUSG00000045350	151.66666666666666	114	ENSG00000185958	94.66666666666667	125
ENSMUSG00000045362	97.83333333333333	109	ENSG00000120889	132	132
ENSMUSG00000045364	22	22	ENSG00000184995	619	619
ENSMUSG00000045374	278	278	ENSG00000167716	134.77777777777777	117
ENSMUSG00000045377	9	9	ENSG00000167874	9	9
ENSMUSG00000045378	64	68	ENSG00000179165	149.66666666666666	120
ENSMUSG00000045381	447.3333333333333	434	NA	NA	NA
ENSMUSG00000045382	81	81	ENSG00000121966	203.875	155.5
ENSMUSG00000045392	91.4	91	ENSG00000174937	88	88
ENSMUSG00000045394	197.33333333333334	137	ENSG00000119888	136.33333333333334	148
ENSMUSG00000045395	196.66666666666666	239	ENSG00000172377	145.25	151
ENSMUSG00000045404	422.75	322.5	ENSG00000152315	212	212
ENSMUSG00000045409	126.75	135.5	ENSG00000204599	134.125	104.5
ENSMUSG00000045410	51	51	ENSG00000165568	73.5	73.5
ENSMUSG00000045411	421.42105263157896	74	NA	NA	NA
ENSMUSG00000045414	206	206	ENSG00000181744	279.25	275
ENSMUSG00000045417	1017	1524	NA	NA	NA
ENSMUSG00000045421	387	390	ENSG00000174339	NA	NA
ENSMUSG00000045427	267.3	67	ENSG00000126945	75.5	75.5
ENSMUSG00000045435	257.5	257.5	ENSG00000135211	115.5	115.5
ENSMUSG00000045438	137.5	137.5	ENSG00000240230	40	40
ENSMUSG00000045440	46	46	ENSG00000168348	89	89
ENSMUSG00000045441	122	122	ENSG00000185477	429	254.5
ENSMUSG00000045466	169	169	NA	NA	NA
ENSMUSG00000045467	149.5	149.5	ENSG00000213471	181	253
ENSMUSG00000045471	88.5	88.5	ENSG00000161610	87	87
ENSMUSG00000045474	60.25	33	NA	NA	NA
ENSMUSG00000045475	33.5	33.5	NA	NA	NA
ENSMUSG00000045479	102.75	93.5	ENSG00000179468	NA	NA
ENSMUSG00000045482	57.5	57.5	ENSG00000196367	105	106
ENSMUSG00000045493	157	157	ENSG00000125533	249.5	249.5
ENSMUSG00000045498	184	184	ENSG00000113205	177	177
ENSMUSG00000045502	61	61	ENSG00000182782	74	74
ENSMUSG00000045503	153.2	129	NA	NA	NA
ENSMUSG00000045508	20	20	NA	NA	NA
ENSMUSG00000045509	172	172	NA	NA	NA
ENSMUSG00000045514	111.25	67	ENSG00000258083	109	59
ENSMUSG00000045515	535.4	264	ENSG00000198914	546.6	283
ENSMUSG00000045518	173	173	ENSG00000205922	157	157
ENSMUSG00000045519	161	161	ENSG00000197961	77	78
ENSMUSG00000045521	98	98	ENSG00000206203	92	92
ENSMUSG00000045532	227	227	ENSG00000131094	255	255
ENSMUSG00000045534	249	249	ENSG00000130037	269	269
ENSMUSG00000045538	458	458	ENSG00000182810	30	30
ENSMUSG00000045539	94	94	ENSG00000163209	48.75	46
ENSMUSG00000045540	28.333333333333332	29	NA	NA	NA
ENSMUSG00000045545	93	93	ENSG00000186847	61	61
ENSMUSG00000045551	34.5	34.5	ENSG00000171051	117.85714285714286	80
ENSMUSG00000045555	74	74	ENSG00000053328	77	77
ENSMUSG00000045559	99.5	51.5	NA	NA	NA
ENSMUSG00000045569	105.66666666666667	109	ENSG00000185231	88.5	88.5
ENSMUSG00000045573	334	334	ENSG00000181195	60.8	73
ENSMUSG00000045575	945	886	NA	NA	NA
ENSMUSG00000045576	310	310	ENSG00000007341	89.66666666666667	79.5
ENSMUSG00000045581	111.5	111.5	NA	NA	NA
ENSMUSG00000045584	36.5	36.5	NA	NA	NA
ENSMUSG00000045587	65.66666666666667	41	NA	NA	NA
ENSMUSG00000045589	120	120	ENSG00000260230	111	111
ENSMUSG00000045591	96	96	ENSG00000177468	224	224
ENSMUSG00000045594	116	116	ENSG00000170266	64.33333333333333	61
ENSMUSG00000045598	233.33333333333334	263	ENSG00000180035	187.4	159
ENSMUSG00000045608	1198	1198	ENSG00000185610	172	172
ENSMUSG00000045613	157	148	ENSG00000181072	133.22222222222223	78
ENSMUSG00000045620	60.5	57	ENSG00000182950	159	159
ENSMUSG00000045624	64.5	64.5	ENSG00000089048	49.333333333333336	43
ENSMUSG00000045625	99.8	73	NA	NA	NA
ENSMUSG00000045629	41	41	ENSG00000169247	53.5	53.5
ENSMUSG00000045631	46	46	ENSG00000186452	42	42
ENSMUSG00000045636	178.6	163	ENSG00000129422	178.72727272727272	164
ENSMUSG00000045639	163.77777777777777	118	ENSG00000102870	105.5	105.5
ENSMUSG00000045648	330.8	186	ENSG00000174453	511.6666666666667	722
ENSMUSG00000045655	44.2	39	ENSG00000179813	54.5	47.5
ENSMUSG00000045657	209	209	NA	NA	NA
ENSMUSG00000045658	127.22222222222223	134	ENSG00000153823	170.4	237
ENSMUSG00000045659	96.07692307692308	84	ENSG00000166689	28.25	13.5
ENSMUSG00000045662	192.4	124	ENSG00000162639	161	131
ENSMUSG00000045664	185.5	185.5	ENSG00000149798	215	201
ENSMUSG00000045665	97	97	ENSG00000182544	113	147
ENSMUSG00000045667	130	130	ENSG00000188176	70	77
ENSMUSG00000045671	387	489	ENSG00000198369	328	328
ENSMUSG00000045672	391	391	ENSG00000196739	414	414
ENSMUSG00000045678	108.5	118	NA	NA	NA
ENSMUSG00000045679	137.5	137.5	ENSG00000162976	89	80
ENSMUSG00000045680	263.5	263.5	ENSG00000118526	174	174
ENSMUSG00000045684	282.3333333333333	61	ENSG00000204003	NA	NA
ENSMUSG00000045689	184	184	ENSG00000113209	229	229
ENSMUSG00000045690	91.25	61	ENSG00000140006	74.4	68
ENSMUSG00000045691	676	676	ENSG00000259431	275.2	337
ENSMUSG00000045693	90	90	ENSG00000160505	211.33333333333334	174
ENSMUSG00000045699	88	88	NA	NA	NA
ENSMUSG00000045708	218	218	ENSG00000221933	51.5	58
ENSMUSG00000045725	284	284	ENSG00000176532	344	344
ENSMUSG00000045730	207	207	ENSG00000169252	221	221
ENSMUSG00000045731	127.33333333333333	24	ENSG00000168081	69.75	57.5
ENSMUSG00000045733	172	172	ENSG00000203772	88.33333333333333	96
ENSMUSG00000045744	124	69	ENSG00000182685	51	51
ENSMUSG00000045751	422.3333333333333	446	ENSG00000146263	129	121
ENSMUSG00000045752	108	81	ENSG00000184281	148.71428571428572	158
ENSMUSG00000045757	218	218	NA	NA	NA
ENSMUSG00000045761	129.33333333333334	111	ENSG00000189350	175.5	175.5
ENSMUSG00000045763	111	111	ENSG00000176788	88	75
ENSMUSG00000045767	113.5	113.5	ENSG00000181904	113.83333333333333	88
ENSMUSG00000045775	135	135	ENSG00000170190	159.66666666666666	141
ENSMUSG00000045776	305.3333333333333	359	ENSG00000144771	176.66666666666666	161
ENSMUSG00000045777	190.75	192.5	ENSG00000244242	153	153
ENSMUSG00000045780	162	162	ENSG00000176742	NA	NA
ENSMUSG00000045790	104	104	ENSG00000181982	86.8	80
ENSMUSG00000045792	55	55	ENSG00000278870	NA	NA
ENSMUSG00000045794	22	22	ENSG00000171695	159.5	159.5
ENSMUSG00000045795	47	30	ENSG00000156232	99	99
ENSMUSG00000045797	112	112	NA	NA	NA
ENSMUSG00000045802	191.75	103.5	NA	NA	NA
ENSMUSG00000045812	87.25	70	ENSG00000171014	NA	NA
ENSMUSG00000045817	253	253	ENSG00000152518	291	291
ENSMUSG00000045822	179	179	ENSG00000132801	212	212
ENSMUSG00000045824	28	28	ENSG00000176900	NA	NA
ENSMUSG00000045826	95	95	ENSG00000213402	63	63
ENSMUSG00000045827	98.25	114	NA	NA	NA
ENSMUSG00000045835	77	77	ENSG00000112273	10	10
ENSMUSG00000045838	144	144	ENSG00000188549	120	120
ENSMUSG00000045854	38	38	ENSG00000083099	27.333333333333332	31
ENSMUSG00000045867	77.25	89.5	ENSG00000169372	117.2	96
ENSMUSG00000045868	77.2	86	NA	NA	NA
ENSMUSG00000045871	273	273	ENSG00000184564	189	113
ENSMUSG00000045875	323.875	309.5	ENSG00000120907	334.4	343
ENSMUSG00000045883	122	149	NA	NA	NA
ENSMUSG00000045886	73	73	ENSG00000217930	73.125	42.5
ENSMUSG00000045896	68	68	ENSG00000124374	93.5	93.5
ENSMUSG00000045903	500	500	ENSG00000174576	145	145
ENSMUSG00000045912	135.66666666666666	136	ENSG00000183186	91	91
ENSMUSG00000045915	112	94	ENSG00000161973	202.5	202.5
ENSMUSG00000045917	97.5	83.5	ENSG00000157693	237	274
ENSMUSG00000045929	1153.5	1153.5	ENSG00000268182	66.66666666666667	52
ENSMUSG00000045930	456	456	ENSG00000176435	71	71
ENSMUSG00000045932	230	230	ENSG00000119922	132.15384615384616	92
ENSMUSG00000045934	189	189	ENSG00000014914	209	209
ENSMUSG00000045942	124	124.5	NA	NA	NA
ENSMUSG00000045948	103.33333333333333	56	ENSG00000128626	147	114
ENSMUSG00000045954	260	260	ENSG00000168497	163	163
ENSMUSG00000045962	538.75	544	ENSG00000060237	676.4	643
ENSMUSG00000045967	714	714	ENSG00000151025	324.3333333333333	364
ENSMUSG00000045968	123.5	104.5	NA	NA	NA
ENSMUSG00000045969	269.6666666666667	142	ENSG00000153487	339.1666666666667	392
ENSMUSG00000045973	76	69.5	ENSG00000141437	204	204
ENSMUSG00000045975	318	318	ENSG00000157617	192	119
ENSMUSG00000045980	90	90	ENSG00000109066	69.2	67
ENSMUSG00000045983	133.9375	121	ENSG00000114867	173.0625	117
ENSMUSG00000045989	16	16	ENSG00000167194	82	82
ENSMUSG00000045991	360	360	ENSG00000119547	343	343
ENSMUSG00000045994	298.2857142857143	327	ENSG00000109956	914.6666666666666	197.5
ENSMUSG00000045996	49.333333333333336	67	ENSG00000147669	56.666666666666664	74
ENSMUSG00000046000	82	82	NA	NA	NA
ENSMUSG00000046006	168.25	110	ENSG00000175857	178.55555555555554	128
ENSMUSG00000046008	28	28	ENSG00000175535	28	28
ENSMUSG00000046010	27	27	ENSG00000198783	27	27
ENSMUSG00000046016	180	158.5	NA	NA	NA
ENSMUSG00000046020	740.2	54	ENSG00000101346	55.5	55.5
ENSMUSG00000046027	61.5	61.5	ENSG00000172345	42	42
ENSMUSG00000046031	75	75	ENSG00000188820	54.666666666666664	55
ENSMUSG00000046032	129	127	ENSG00000147164	86.6	97
ENSMUSG00000046034	84	84	ENSG00000154124	108	108
ENSMUSG00000046041	483	483	NA	NA	NA
ENSMUSG00000046049	72	72	ENSG00000183638	132.5	132.5
ENSMUSG00000046056	42.333333333333336	29	ENSG00000189001	50	50
ENSMUSG00000046058	74	74	ENSG00000176396	82	82
ENSMUSG00000046062	604	604	ENSG00000158615	292.5	292.5
ENSMUSG00000046070	551	551	ENSG00000099769	72.66666666666667	80
ENSMUSG00000046079	182.5	215.5	ENSG00000171492	168	202.5
ENSMUSG00000046080	92.5	92.5	ENSG00000197992	152	129.5
ENSMUSG00000046082	90	90	ENSG00000164325	51	51
ENSMUSG00000046093	223.75	245	ENSG00000116983	105.5	117
ENSMUSG00000046095	48	48	ENSG00000108759	61	61
ENSMUSG00000046096	139.5	139.5	ENSG00000185716	77.5	56
ENSMUSG00000046101	100	44	ENSG00000178460	64.4	61
ENSMUSG00000046108	99	99	ENSG00000124391	70	70
ENSMUSG00000046110	184	184	ENSG00000184716	190	190
ENSMUSG00000046111	94.5	94.5	ENSG00000166004	96	95.5
ENSMUSG00000046130	1075.8333333333333	350	NA	NA	NA
ENSMUSG00000046133	74.5	82.5	NA	NA	NA
ENSMUSG00000046138	115	115	ENSG00000183354	695	695
ENSMUSG00000046139	164	164	ENSG00000166889	142	142
ENSMUSG00000046150	100.5	100.5	ENSG00000284609	176	176
ENSMUSG00000046152	143.16666666666666	125.5	ENSG00000172728	161.5	161.5
ENSMUSG00000046157	141.85714285714286	93	ENSG00000198133	99.4	65
ENSMUSG00000046159	164.6	63	ENSG00000133019	200.33333333333334	111
ENSMUSG00000046160	105	105	ENSG00000184221	106	106
ENSMUSG00000046167	38	38	ENSG00000186417	26.333333333333332	30
ENSMUSG00000046168	43.5	43.5	ENSG00000198553	145	145
ENSMUSG00000046169	215.66666666666666	238	ENSG00000049192	428.5	428.5
ENSMUSG00000046173	97	97	NA	NA	NA
ENSMUSG00000046178	463.6666666666667	578	ENSG00000122584	419.3333333333333	110
ENSMUSG00000046179	226.33333333333334	189	ENSG00000129173	211.25	169
ENSMUSG00000046180	90.75	80.5	ENSG00000046774	116	94
ENSMUSG00000046182	233	233	ENSG00000169181	133.25	87.5
ENSMUSG00000046185	88	88	ENSG00000196381	NA	NA
ENSMUSG00000046186	336	336	ENSG00000156535	222	222
ENSMUSG00000046191	159	159	ENSG00000120327	133.66666666666666	163
ENSMUSG00000046192	46	46	ENSG00000164675	227	104
ENSMUSG00000046196	207.5	207.5	NA	NA	NA
ENSMUSG00000046201	410	410	ENSG00000213079	265	265
ENSMUSG00000046203	30.5	30.5	NA	NA	NA
ENSMUSG00000046204	177.25	126.5	ENSG00000240694	225	130
ENSMUSG00000046207	156	156	ENSG00000276231	118.5	118.5
ENSMUSG00000046210	124	124	ENSG00000182652	99	99
ENSMUSG00000046213	26	26	NA	NA	NA
ENSMUSG00000046215	211	211	ENSG00000179673	246	246
ENSMUSG00000046223	26	26	ENSG00000011422	138.75	47.5
ENSMUSG00000046229	150	150	ENSG00000171222	261.2857142857143	60
ENSMUSG00000046230	158	158	ENSG00000197969	200	171
ENSMUSG00000046240	326	326	ENSG00000165478	38.5	38.5
ENSMUSG00000046242	3.5	3.5	ENSG00000181322	103.5	36
ENSMUSG00000046245	303.5	303.5	NA	NA	NA
ENSMUSG00000046248	64	64	NA	NA	NA
ENSMUSG00000046258	110	110	ENSG00000168594	107.25	93.5
ENSMUSG00000046259	28	25	NA	NA	NA
ENSMUSG00000046262	99.5	99.5	NA	NA	NA
ENSMUSG00000046269	967	967	ENSG00000273820	824	824
ENSMUSG00000046272	81	35	ENSG00000198283	NA	NA
ENSMUSG00000046275	352	352	ENSG00000184811	340	340
ENSMUSG00000046280	134	134	ENSG00000169291	386	386
ENSMUSG00000046282	70	70	ENSG00000134007	157.25	192
ENSMUSG00000046287	35	35	ENSG00000183837	168.33333333333334	169
ENSMUSG00000046295	19	19	ENSG00000160117	100	79
ENSMUSG00000046300	309.5	309.5	NA	NA	NA
ENSMUSG00000046311	92.71428571428571	82	ENSG00000196670	71.5	65.5
ENSMUSG00000046312	74	74	ENSG00000164976	84.5	84.5
ENSMUSG00000046314	241.66666666666666	175	ENSG00000168952	198.5	129.5
ENSMUSG00000046318	493	493	ENSG00000183287	90.2	86
ENSMUSG00000046321	244.5	244.5	ENSG00000122254	449	449
ENSMUSG00000046323	113	113	ENSG00000187569	138	138
ENSMUSG00000046324	60	60	ENSG00000099219	90	90
ENSMUSG00000046329	190	190	ENSG00000125648	135.5	135.5
ENSMUSG00000046330	31	31	ENSG00000197756	72.14285714285714	41
ENSMUSG00000046337	239.75	270.5	ENSG00000168754	172.33333333333334	220
ENSMUSG00000046338	45.5	45.5	ENSG00000186281	107.75	68.5
ENSMUSG00000046345	141	141	ENSG00000214097	137	137
ENSMUSG00000046351	94	80	ENSG00000181315	149.25	108.5
ENSMUSG00000046352	128	128	ENSG00000165474	125.66666666666667	156
ENSMUSG00000046364	73	73	ENSG00000166441	130.27272727272728	64
ENSMUSG00000046367	185.5	185.5	NA	NA	NA
ENSMUSG00000046378	82.6	30	ENSG00000174939	244	263
ENSMUSG00000046380	359.5	359.5	ENSG00000234616	155.5	63.5
ENSMUSG00000046387	364	364	ENSG00000272674	173	173
ENSMUSG00000046396	122.66666666666667	136.5	NA	NA	NA
ENSMUSG00000046402	2018	2018	ENSG00000114115	106.5	107.5
ENSMUSG00000046404	157	157	ENSG00000180667	127.66666666666667	117
ENSMUSG00000046408	75	75	ENSG00000188032	156	156
ENSMUSG00000046410	32	32	ENSG00000099337	106	106
ENSMUSG00000046417	133	133	ENSG00000181350	183	183
ENSMUSG00000046431	788.5	788.5	ENSG00000170683	150	150
ENSMUSG00000046432	78.875	85	ENSG00000166681	116.14285714285714	79
ENSMUSG00000046434	54	60	ENSG00000135486	149.16666666666666	93
ENSMUSG00000046435	40.5	40.5	NA	NA	NA
ENSMUSG00000046438	27	27	NA	NA	NA
ENSMUSG00000046441	59	59	ENSG00000180917	151	159
ENSMUSG00000046442	120	120	ENSG00000175175	144	144
ENSMUSG00000046447	872	872	ENSG00000162545	831	831
ENSMUSG00000046449	330.6	485	ENSG00000050030	402.3333333333333	570
ENSMUSG00000046450	344	330	ENSG00000168828	NA	NA
ENSMUSG00000046456	190.5	190.5	ENSG00000180061	74.33333333333333	70
ENSMUSG00000046460	118	118	ENSG00000183476	95.75	108.5
ENSMUSG00000046470	119	119	ENSG00000203883	123	123
ENSMUSG00000046474	36	36	ENSG00000244537	57	57
ENSMUSG00000046480	647	647	ENSG00000177098	182.5	182.5
ENSMUSG00000046486	200	200	ENSG00000180433	168	168
ENSMUSG00000046490	98	111	ENSG00000189051	84.5	80.5
ENSMUSG00000046491	47.333333333333336	56	ENSG00000145861	42.666666666666664	9
ENSMUSG00000046493	122	122	ENSG00000188269	61	58
ENSMUSG00000046500	141.33333333333334	140	ENSG00000163377	215	215
ENSMUSG00000046516	83.33333333333333	79	ENSG00000138495	62	54
ENSMUSG00000046518	65	65	ENSG00000146618	59	59
ENSMUSG00000046519	120.14285714285714	145	ENSG00000143457	87.5	87.5
ENSMUSG00000046523	191	191	ENSG00000180332	204.5	204.5
ENSMUSG00000046532	1013	1013	ENSG00000169083	485.3333333333333	327
ENSMUSG00000046541	63.333333333333336	80	ENSG00000167625	70	83.5
ENSMUSG00000046546	877	877	ENSG00000185112	944	944
ENSMUSG00000046550	129	129	NA	NA	NA
ENSMUSG00000046556	334.5	334.5	ENSG00000166188	718.5	718.5
ENSMUSG00000046561	1090	1090	ENSG00000180801	813	813
ENSMUSG00000046562	65	65	ENSG00000175970	17	17
ENSMUSG00000046567	279	279	ENSG00000133641	113	113
ENSMUSG00000046572	155.4	148	ENSG00000178163	168.33333333333334	184
ENSMUSG00000046573	366	366	ENSG00000214113	76.66666666666667	9
ENSMUSG00000046585	134.5	134.5	ENSG00000120051	65	65
ENSMUSG00000046589	92	92	ENSG00000171017	83.75	93.5
ENSMUSG00000046591	144	144	ENSG00000140534	118	118
ENSMUSG00000046593	657.3333333333334	483	ENSG00000188133	162	162
ENSMUSG00000046598	202.25	236.5	ENSG00000161267	146.875	147.5
ENSMUSG00000046603	80.5	80.5	ENSG00000179152	154.4	75
ENSMUSG00000046605	121	121	ENSG00000175711	128.33333333333334	65.5
ENSMUSG00000046607	35	35	ENSG00000135116	134	134
ENSMUSG00000046610	25	25	NA	NA	NA
ENSMUSG00000046613	95.71428571428571	65	ENSG00000145198	108.8	127
ENSMUSG00000046615	103	103	ENSG00000123165	197	197
ENSMUSG00000046618	99	99	ENSG00000185585	156	156
ENSMUSG00000046623	240	335	ENSG00000189433	185.5	185.5
ENSMUSG00000046634	152	152	ENSG00000158683	26	26
ENSMUSG00000046637	130	154	ENSG00000215912	77.33333333333333	74
ENSMUSG00000046643	268.75	311.5	NA	NA	NA
ENSMUSG00000046650	102.33333333333333	124	NA	NA	NA
ENSMUSG00000046658	108.33333333333333	128	ENSG00000205903	112	130
ENSMUSG00000046667	113.4	65	NA	NA	NA
ENSMUSG00000046668	177	177	ENSG00000171604	244.66666666666666	160
ENSMUSG00000046671	145.33333333333334	138	ENSG00000117640	212.69230769230768	101
ENSMUSG00000046675	325	325	ENSG00000153485	62.333333333333336	82
ENSMUSG00000046676	34.5	34.5	NA	NA	NA
ENSMUSG00000046678	85.66666666666667	64	ENSG00000198674	NA	NA
ENSMUSG00000046679	202	114	ENSG00000115998	84.5	29.5
ENSMUSG00000046688	253	177.5	ENSG00000145365	173	179
ENSMUSG00000046691	57.875	52	ENSG00000168802	68.5	71
ENSMUSG00000046694	168	168	ENSG00000158246	180	180
ENSMUSG00000046697	15	15	ENSG00000182156	197	197
ENSMUSG00000046699	124.75	126	ENSG00000179542	229.75	251
ENSMUSG00000046707	356.5	356.5	ENSG00000070770	370	370
ENSMUSG00000046709	209.16666666666666	189.5	ENSG00000109339	249.1358024691358	190
ENSMUSG00000046711	131.38888888888889	103	NA	NA	NA
ENSMUSG00000046714	444	444	ENSG00000176692	507	507
ENSMUSG00000046716	41.25	32.5	NA	NA	NA
ENSMUSG00000046717	100	100	NA	NA	NA
ENSMUSG00000046718	29	29	ENSG00000130303	55	55
ENSMUSG00000046719	357	357	ENSG00000182575	223.5	223.5
ENSMUSG00000046722	98.57142857142857	63	ENSG00000197622	167	157.5
ENSMUSG00000046723	91	91	NA	NA	NA
ENSMUSG00000046727	169.25	163	ENSG00000120306	62.333333333333336	69
ENSMUSG00000046731	927	927	ENSG00000213859	859	859
ENSMUSG00000046733	68	68	ENSG00000013588	249.75	55
ENSMUSG00000046743	20	20	ENSG00000196159	537.25	538.5
ENSMUSG00000046748	164.66666666666666	106	ENSG00000181458	186.6	240
ENSMUSG00000046750	109	109	ENSG00000186838	74	74
ENSMUSG00000046753	20.5	20.5	ENSG00000180376	51.5	56
ENSMUSG00000046755	103	103	ENSG00000141200	107	107
ENSMUSG00000046756	236	236	ENSG00000125445	221.33333333333334	227
ENSMUSG00000046761	77.66666666666667	93	ENSG00000180921	52	52
ENSMUSG00000046768	502	502	ENSG00000126785	219	219
ENSMUSG00000046774	98	98	NA	NA	NA
ENSMUSG00000046782	72.5	72.5	ENSG00000139865	109.25	73.5
ENSMUSG00000046785	24	24	ENSG00000178567	54	54
ENSMUSG00000046790	374	302.5	NA	NA	NA
ENSMUSG00000046791	84	84	ENSG00000170468	85	85
ENSMUSG00000046792	111.66666666666667	104.5	ENSG00000142409	71	79
ENSMUSG00000046793	331.5	331.5	ENSG00000156097	341.5	341.5
ENSMUSG00000046794	105.6	65	ENSG00000173281	113.66666666666667	96
ENSMUSG00000046798	75.11111111111111	62	ENSG00000157224	85.14285714285714	89
ENSMUSG00000046804	36.5	36.5	NA	NA	NA
ENSMUSG00000046805	120	115	ENSG00000197629	62	62
ENSMUSG00000046806	201.25	135.5	ENSG00000122783	135.36363636363637	130
ENSMUSG00000046807	210	210	ENSG00000178026	34	34
ENSMUSG00000046808	136	136	ENSG00000145246	167.66666666666666	221
ENSMUSG00000046811	90.5	90.5	ENSG00000182327	48	48
ENSMUSG00000046814	65	65	ENSG00000137880	103.14285714285714	77
ENSMUSG00000046818	131.5	131.5	ENSG00000145358	107.5	107.5
ENSMUSG00000046822	118.5	98.5	ENSG00000141873	93	84
ENSMUSG00000046826	191	76	ENSG00000177558	59	59
ENSMUSG00000046828	98	98	NA	NA	NA
ENSMUSG00000046834	67	67	ENSG00000167768	59	59
ENSMUSG00000046836	67.25	81.5	ENSG00000162819	220.25	237.5
ENSMUSG00000046841	196	196	ENSG00000136026	169	169
ENSMUSG00000046844	86	86	ENSG00000171724	119	119
ENSMUSG00000046845	28	28	ENSG00000136697	165.33333333333334	47
ENSMUSG00000046846	146	146	ENSG00000258484	129	129
ENSMUSG00000046854	147	147	ENSG00000167103	78.33333333333333	25
ENSMUSG00000046856	185.33333333333334	146	ENSG00000183671	127	115
ENSMUSG00000046861	86	86	ENSG00000126107	114.5	114.5
ENSMUSG00000046862	215.5	85	NA	NA	NA
ENSMUSG00000046865	99	99	ENSG00000105202	79	79
ENSMUSG00000046873	161.625	147	ENSG00000012174	99.5	99.5
ENSMUSG00000046876	133.22222222222223	129	ENSG00000124788	122.22222222222223	128
ENSMUSG00000046879	205.25	236.5	NA	NA	NA
ENSMUSG00000046881	73.33333333333333	82	NA	NA	NA
ENSMUSG00000046886	146	127	ENSG00000164185	175	175
ENSMUSG00000046897	230.375	215	ENSG00000139651	211.5	211.5
ENSMUSG00000046899	42	42	NA	NA	NA
ENSMUSG00000046908	70.5	70.5	NA	NA	NA
ENSMUSG00000046909	56	56	ENSG00000172171	38.5	38.5
ENSMUSG00000046913	134	134	ENSG00000172365	59.5	53.5
ENSMUSG00000046916	75	75	ENSG00000120279	6	6
ENSMUSG00000046922	89	89	ENSG00000146360	117.25	119.5
ENSMUSG00000046932	290.75	252	NA	NA	NA
ENSMUSG00000046934	457	457	NA	NA	NA
ENSMUSG00000046942	79.6	80	ENSG00000189023	82.33333333333333	64
ENSMUSG00000046947	382.5	382.5	ENSG00000133597	282	282
ENSMUSG00000046949	87.16666666666667	81.5	ENSG00000124588	138.8	116.5
ENSMUSG00000046957	206	206	ENSG00000164299	214	214
ENSMUSG00000046959	187.25	195.5	ENSG00000145217	116.33333333333333	120
ENSMUSG00000046961	238	238	ENSG00000175697	197.33333333333334	194
ENSMUSG00000046962	144.83333333333334	188	ENSG00000173276	99.71428571428571	109
ENSMUSG00000046971	109	109	ENSG00000168907	87	87
ENSMUSG00000046974	84.5	84.5	NA	NA	NA
ENSMUSG00000046975	166.5	166.5	ENSG00000172464	NA	NA
ENSMUSG00000046982	730	752	ENSG00000179981	554.6666666666666	489
ENSMUSG00000046985	19	19	ENSG00000169762	14	14
ENSMUSG00000046991	19.666666666666668	24	ENSG00000184465	282.5	330.5
ENSMUSG00000046994	63	63	ENSG00000247626	37	37
